region_name,state_abbr,city_name,total_revenue,num_orders
Southeast,SP,santa cruz das palmeiras,736.51,9
Northeast,BA,camacari,736.29,5
Northeast,MA,cantanhede,735.85,1
South,RS,horizontina,735.55,7
Northeast,RN,santa cruz,734.7,4
Central-West,MS,camapua,734.34,6
Southeast,MG,frei inocencio,733.8900000000001,5
Northeast,PE,tracunhaem,733.7,2
North,TO,miranorte,733.42,2
Central-West,MS,bataguassu,732.9200000000001,5
Southeast,SP,maristela,731.4200000000001,4
South,SC,passo de torres,731.26,7
Northeast,BA,rio do pires,731.25,4
Southeast,MG,morada nova de minas,730.3699999999999,3
Southeast,MG,monte azul,729.88,5
South,RS,sao jeronimo,729.34,7
Southeast,MG,itambacuri,727.89,6
Northeast,SE,graccho cardoso,723.72,1
North,PA,hidrelétrica tucuruí,721.48,3
Northeast,PE,sirinhaem,720.2299999999999,5
Northeast,PB,são bento,720.21,3
Central-West,MS,jutí,719.48,4
North,RO,ouro preto do oeste,718.48,4
Northeast,CE,senador pompeu,718.1099999999999,4
Central-West,MT,nova mutum,715.6700000000001,5
Southeast,SP,guarantã,715.01,5
Southeast,SP,apiaí,714.94,6
Southeast,MG,conceicao dos ouros,714.9200000000001,4
South,RS,pinheiro machado,713.3100000000001,5
South,SC,petrolândia,712.05,5
Northeast,PE,surubim,711.22,5
Southeast,MG,santa cruz de minas,710.39,5
North,PA,breves,710.19,1
Northeast,BA,itororo,709.37,2
Southeast,MG,rio acima,709.23,8
Southeast,MG,rio pardo de minas,708.49,5
Southeast,SP,morungaba,708.32,7
South,PR,paulo frontin,707.4,5
Southeast,MG,lagoa dourada,707.3,5
South,PR,itaperuçu,707.2,4
Northeast,CE,paraipaba,706.54,5
Northeast,CE,paracuru,705.9200000000001,4
Southeast,SP,bady bassitt,705.7,7
Northeast,CE,itaitinga,704.17,4
Northeast,MA,urbano santos,703.99,5
Southeast,MG,jequitiba,703.86,2
Northeast,MA,itapecuru mirim,702.9499999999999,4
South,PR,guaraci,701.96,2
South,RS,sao jose do norte,701.78,7
Northeast,PE,limoeiro,701.2099999999999,7
Northeast,CE,granja,700.3000000000001,5
Southeast,MG,carmo de minas,699.53,3
Southeast,MG,juatuba,699.3299999999999,4
Southeast,MG,baldim,699.0400000000001,2
South,SC,campo ere,697.99,7
Southeast,SP,fernando prestes,696.58,6
Central-West,MS,são gabriel do oeste,695.94,7
South,RS,são sepé,695.71,6
Northeast,PE,floresta,694.69,6
Southeast,MG,medina,694.4,6
Southeast,MG,santo antônio do jacinto,693.5600000000002,8
Northeast,AL,rio largo,693.0400000000001,6
Southeast,MG,águas vermelhas,692.89,3
Southeast,RJ,silva jardim,691.27,4
Southeast,MG,mário campos,690.8999999999999,3
South,RS,porto xavier,690.1799999999998,5
Southeast,MG,ibiaí,689.95,3
Northeast,BA,coronel joão sá,689.71,3
Northeast,SE,poço verde,689.31,4
Northeast,AL,mar vermelho,689.02,2
South,SC,sao carlos,688.57,5
Central-West,GO,castelândia,688.41,5
South,SC,maravilha,686.6,9
Southeast,MG,jeceaba,683.51,6
Southeast,ES,marechal floriano,681.38,5
Northeast,PE,jaqueira,679.1700000000001,3
Southeast,MG,campos gerais,679.1700000000001,5
Northeast,PE,arcoverde,677.4,5
Southeast,MG,jequeri,676.84,1
South,RS,vera cruz,676.1000000000001,4
Northeast,PI,canto do buriti,674.83,1
Southeast,SP,salto grande,674.34,1
Southeast,RJ,sao goncalo,673.75,6
South,RS,candelaria,673.1,4
South,PR,perola doeste,672.75,2
South,RS,soledade,671.66,5
Southeast,SP,lagoinha,668.73,3
Northeast,BA,ubaitaba,667.93,4
South,RS,antonio prado,667.57,5
Northeast,PE,jupi,666.8599999999999,2
South,SC,palmeira,665.88,3
Southeast,RJ,rio das flores,665.69,6
Central-West,MT,nova bandeirantes,665.53,4
South,PR,ribeirão claro,663.8,5
South,PR,nova aurora,661.97,3
Northeast,MA,fortuna,661.92,3
Northeast,MA,são bento,661.03,2
Northeast,BA,capim grosso,660.78,5
Southeast,SP,rafard,659.46,5
South,PR,iguaracu,659.2,2
Southeast,SP,valparaiso,658.49,8
South,PR,bela vista do paraiso,658.4899999999999,3
Southeast,ES,conceição do castelo,658.0,5
South,PR,teixeira soares,657.9200000000001,1
Southeast,RJ,ipiabas,657.72,4
Central-West,GO,orizona,657.08,6
Southeast,SP,paulo de faria,656.48,5
Northeast,AL,belem,656.4699999999999,3
South,RS,catuípe,655.7200000000001,4
Central-West,MT,porto dos gauchos,655.67,1
South,SC,pouso redondo,655.27,3
South,RS,anta gorda,655.25,4
Southeast,SP,eldorado,654.0600000000001,6
Southeast,MG,tiradentes,653.58,4
Central-West,MT,pedra preta,653.5,4
Southeast,ES,rio novo do sul,651.8899999999999,6
Southeast,MG,mato verde,651.31,3
Southeast,RJ,raposo,650.8399999999999,3
Southeast,SP,jordanesia,650.5,9
Northeast,PE,feira nova,649.77,5
Southeast,SP,ariranha,647.27,5
